코레일,경의중앙,금릉,경기도 파주시 금촌동 605-1,경기도 파주시 금릉역로 85,시 금촌
코레일,경의중앙,금촌,경기도 파주시 금촌동 329-355,경기도 파주시 새꽃로 193,시 금촌
코레일,경의중앙,월롱,경기도 파주시 월롱면 위전리 168-3,경기도 파주시 월롱면 통일로 980,시 월롱
코레일,경의중앙,파주,경기도 파주시 파주읍 봉암리 487-4,경기도 파주시 파주읍 주라위길 38,시 파주
코레일,경의중앙,문산,경기도 파주시 문산읍 문산리 17-14,경기도 파주시 문산읍 문산역로 94,시 문산
코레일,경의중앙,서울역,서울특별시 중구 남대문로5가 73-6,서울특별시 세종대로 지하 2 ,중구
코레일,경의중앙,신촌,서울특별시 서대문구 신촌동 74-12,서울특별시 서대문구 신촌역로 30,서대문구
철도운영기관명,선명,역명,지번주소,도로명주소,
코레일,경춘,광운대,서울특별시 노원구 월계동 85,서울특별시 노원구 석계로 98-2,노원구
코레일,경춘,청량리,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 왕산로 214,동대문구
코레일,경춘,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,동대문구
코레일,경춘,중랑,서울특별시 중랑구 중화동 73-7,서울특별시 중랑구 중랑역로 9,중랑구
코레일,경춘,상봉,서울특별시 중랑구 상봉동 100-46,서울특별시 중랑구 망우로 297,중랑구
코레일,경춘,망우,서울특별시 중랑구 상봉동 172,서울특별시 중랑구 망우로 55길 11-10,중랑구
코레일,경춘,신내,서울특별시 중랑구 망우동 320,서울특별시 중랑구 신내역로 20,중랑구
코레일,경춘,갈매,경기도 구리시 갈매동 502-39,경기도 구리시 경춘북로 229,시 갈매
코레일,경춘,별내,경기도 남양주시 별내동 182-5,경기도 남양주시 경춘북로 375,주시 별
코레일,경춘,퇴계원,경기도 남양주시 퇴계원면 퇴계원리 218-142,경기도 남양주시 퇴계원면 경춘북로 545,주시 퇴
코레일,경춘,사릉,경기도 남양주시 진건읍 사능리 605-3,경기도 남양주시 진건읍 진건우회로 63,주시 진
코레일,경춘,금곡,경기도 남양주시 금곡동 404-276,경기도 남양주시 금곡로 19번길 47,주시 금
코레일,경춘,평내호평,경기도 남양주시 평내동 660,경기도 남양주시 경춘로 1375,주시 평
코레일,경춘,천마산,경기도 남양주시 화도읍 묵현리 320-11,경기도 남양주시 화도읍 묵현로 25번길 37,주시 화
코레일,경춘,마석,경기도 남양주시 화도읍 마석우리 222-2,경기도 남양주시 화도읍 마석중앙로 107,주시 화
